100877513RR0001,2012-03-31,6,4,2,,,,,,,,3,4836,284500,
100877539RR0001,2012-03-31,4,3,1,,,,,,,,6,34768,165647,
100877547RR0001,2012-03-31,5,4,1,,,,,,,,2,45949,222711,
100877570RR0001,2012-08-31,4,4,,,,,,,,,,,91295,
100877596RR0001,2012-03-31,9,9,,,,,,,,,2,3452,139600,
100877802RR0001,2012-03-31,,,,,,,,,,,,,,
100877810RR0001,2012-03-31,7,8,1,,,,,,,,2,20224,235420,
100877828RR0001,2012-12-31,,,,,,,,,,,3,15083,15083,
100878032RR0001,2012-06-30,5,5,,,,,,,,,5,103789,103789,
100878115RR0001,2012-12-31,1,,,,,,,,,,,,29735,
100878123RR0001,2012-06-30,30,,10,,,,,,,,8,116426,1520679,
100878206RR0001,2012-03-31,417,,,10,,,,,,,91,10775685,37725033,
100878743RR0001,2012-03-31,4,3,1,,,,,,,,2,2839,137792,
100878776RR0001,2012-03-31,14,8,1,1,,,,,,,20,301146,948896,
100878784RR0001,2012-03-31,4,4,,,,,,,,,4,68436,199285,
100878792RR0001,2012-03-31,1,,,,,,,,,,9,76450,92601,
100878800RR0001,2012-08-31,2,,,,,,,,,,2,2214,,
100878818RR0001,2012-03-31,,,,,,,,,,,2,55625,55625,
100878826RR0001,2012-03-31,2,2,,,,,,,,,7,55994,55994,
100878834RR0001,2012-03-31,7,6,1,,,,,,,,4,9561,253841,
100879576RR0001,2012-03-31,5,4,1,,,,,,,,3,15800,201936,
100879923RR0001,2012-03-31,6,6,,,,,,,,,,,114836,
100880608RR0001,2012-09-30,1,1,,,,,,,,,,,25517,
100880699RR0001,2012-03-31,9,9,,,,,,,,,3,,224221,
100880822RR0001,2012-03-31,8,2,6,,,,,,,,,,394632,
100881333RR0001,2012-03-31,8,7,1,,,,,,,,,,391380,
100882497RR0001,2012-08-31,12,9,1,,,,,,,,18,89009,409024,
100882703RR0001,2012-12-31,,,,,,,,,,,,,,
100882893RR0001,2012-03-31,15,4,5,1,,,,,,,,,1011308,
100883248RR0001,2012-03-31,6,6,,,,,,,,,3,16585,145582,
100883289RR0001,2012-03-31,1,,1,,,,,,,,,,55080,
100883842RR0001,2012-09-30,2,1,1,,,,,,,,41,192886,272446,
100884188RR0001,2012-03-31,1,1,,,,,,,,,1,13783,42426,
100884329RR0001,2012-03-31,6,5,1,,,,,,,,,,156667,
100884584RR0001,2012-06-30,4,1,3,,,,,,,,8,152766,377470,
100884949RR0001,2012-03-31,12,8,2,,,,,,,,8,82849,549225,
100884956RR0001,2012-12-31,5,5,,,,,,,,,6,102613,312624,
100885821RR0001,2012-03-31,1,1,,,,,,,,,1,12176,47176,
100886381RR0001,2012-03-31,6,8,1,,,,,,,,3,,207295,
100886407RR0001,2012-03-31,6,4,2,,,,,,,,,,193260,
100886415RR0001,2012-03-31,4,3,1,,,,,,,,66,98805,219781,
100886522RR0001,2012-04-30,6,5,1,,,,,,,,24,158445,347804,
100886530RR0001,2012-06-30,2,1,1,,,,,,,,63,330030,441020,
100886993RR0001,2012-03-31,146,138,7,1,,,,,,,,,4515500,
100887025RR0001,2012-03-31,96,4,5,1,,,,,,,9,96481,2339341,
100887082RR0001,2012-12-31,,,,,,,,,,,,,,
100887272RR0001,2012-03-31,,,,,,,,,,,4,28832,28832,
100887835RR0001,2012-06-30,75,,8,2,,,,,,,20,171158,3128184,
100887876RR0001,2012-12-31,,,,,,,,,,,7,3263,3263,
100889997RR0001,2012-06-30,9,9,1,,,,,,,,,,388296,
100890011RR0001,2012-06-30,7,6,1,,,,,,,,,,216480,
100890094RR0001,2012-03-31,4,,,,,,,,,,,,172204,
100890227RR0001,2012-06-30,9,7,2,,,,,,,,18,426153,773550,
100890821RR0001,2012-12-31,3,2,,,,,,,,,2,11406,71289,
100890920RR0001,2012-12-31,3,2,1,,,,,,,,,,57685,
100891134RR0001,2012-03-31,17,,,,,,,,,,15,,46352,
100891191RR0001,2012-03-31,4,4,,,,,,,,,9,61980,201673,
100891258RR0001,2012-12-31,4,4,,,,,,,,,3,35437,67554,
100891449RR0001,2012-12-31,,,,,,,,,,,,,,
100892272RR0001,2012-08-31,,,,,,,,,,,4,14470,14470,
100892918RR0001,2012-03-31,3,3,,,,,,,,,,,113446,
100892959RR0001,2012-03-31,10,8,1,1,,,,,,,5,48668,522478,
100893379RR0001,2012-03-31,17,8,2,,,,,,,,4,73541,587763,
100893528RR0001,2012-05-31,2,,2,,,,,,,,12,24886,142888,
100893700RR0001,2012-05-31,2,,2,,,,,,,,10,256724,,
100904085RR0001,2012-03-31,67,7,3,,,,,,,,39,225495,1534654,
100909753RR0001,2012-08-31,,,,,,,,,,,,,,
100910215RR0001,2012-03-31,7,6,1,,,,,,,,13,69399,332401,
100914647RR0001,2012-12-31,9,,,,,,,,,,3,22800,413012,
100917020RR0001,2012-03-31,,,,,,,,,,,2,33144,33144,
100931203RR0001,2012-03-31,248,,6,4,,,,,,,164,3617527,10999383,
100952753RR0001,2012-12-31,5,1,4,,,,,,,,5,15094,306673,
100957497RR0001,2012-06-30,,,,,,,,,,,1,2183,2183,
100960863RR0001,2012-12-31,2,2,,,,,,,,,1,528,59431,
100966175RR0001,2012-03-31,5,1,4,,,,,,,,8,328138,582043,
100977180RR0001,2012-03-31,3,1,2,,,,,,,,4,141346,288495,
100987213RR0001,2012-03-31,50,7,1,1,,,,,,,,,2405516,
101015469RR0001,2012-04-30,,,,,,,,,,,,,,
101021483RR0001,2012-12-31,,,,,,,,,,,,,7235,
101023059RR0001,2012-03-31,3,3,,,,,,,,,2,6075,87622,
